Producer,Operator,Job,Notes
Vince Vaughn,Sabrina Carpenter,Dirtfixing,
,,,
Location,Frames to fix,
/hpsans13/production/Deadpool3/reel1/partA/1920x1080,1-4,
/hpsans13/production/Deadpool3/reel1/partA/1920x1080,41-43,
/hpsans13/production/Deadpool3/reel1/partA/1920x1080,57-59,
/hpsans13/production/Deadpool3/reel1/partA/1920x1080,70,
/hpsans13/production/Deadpool3/reel1/partA/1920x1080,122-123,
/hpsans13/production/Deadpool3/reel1/partA/1920x1080,155,
/hpsans13/production/Deadpool3/reel1/partA/1920x1080,1023,
/hpsans13/production/Deadpool3/reel1/partA/1920x1080,1111-1112,
/hpsans13/production/Deadpool3/reel1/partA/1920x1080,1160,
/hpsans13/production/Deadpool3/reel1/partA/1920x1080,1201-1205,
/hpsans13/production/Deadpool3/reel1/partA/1920x1080,1211-1215,
/hpsans11/production/Deadpool3/reel1/VFX/Hydraulx,1251,
/hpsans11/production/Deadpool3/reel1/VFX/Hydraulx,1262-1263,
/hpsans11/production/Deadpool3/reel1/VFX/Hydraulx,1268,
/hpsans11/production/Deadpool3/reel1/VFX/Hydraulx,1270-1272,
/hpsans13/production/Deadpool3/reel1/partA/1920x1080,1302-1303,
/hpsans13/production/Deadpool3/reel1/partA/1920x1080,1310,
/hpsans13/production/Deadpool3/reel1/partA/1920x1080,1500,
/hpsans13/production/Deadpool3/reel1/partA/1920x1080,5000-5002,
/hpsans19/production/Deadpool3/pickups/shot_1ab/1920x1080,5010-5014,
/hpsans13/production/Deadpool3/reel1/partA/1920x1080,5111,
/hpsans13/production/Deadpool3/reel1/partA/1920x1080,5122,
/hpsans13/production/Deadpool3/reel1/partA/1920x1080,5133,
/hpsans13/production/Deadpool3/reel1/partA/1920x1080,5144,
/hpsans13/production/Deadpool3/reel1/partA/1920x1080,5155,
/hpsans13/production/Deadpool3/reel1/partA/1920x1080,5166,
/hpsans13/production/Deadpool3/reel1/VFX/Framestore,6188-6191,
/hpsans11/production/Deadpool3/reel1/VFX/Hydraulx,6197-6199,
/hpsans13/production/Deadpool3/reel1/partA/1920x1080,6200-6201,
/hpsans13/production/Deadpool3/reel1/partA/1920x1080,6209,
/hpsans13/production/Deadpool3/reel1/partA/1920x1080,6212,
/hpsans13/production/Deadpool3/reel1/partA/1920x1080,6219,
/hpsans13/production/Deadpool3/reel1/partA/1920x1080,6233-6234,
/hpsans13/production/Deadpool3/reel1/partA/1920x1080,6267,
/hpsans13/production/Deadpool3/reel1/partA/1920x1080,6269,
/hpsans13/production/Deadpool3/reel1/partA/1920x1080,6271,
/hpsans13/production/Deadpool3/reel1/partA/1920x1080,6278,
/hpsans13/production/Deadpool3/reel1/partA/1920x1080,6282,
/hpsans13/production/Deadpool3/reel1/partA/1920x1080,6288-6290,
/hpsans13/production/Deadpool3/reel1/partA/1920x1080,6292-6294,
/hpsans12/production/Deadpool3/reel1/partB/1920x1080,6409-6411,
/hpsans12/production/Deadpool3/reel1/partB/1920x1080,6413,
/hpsans12/production/Deadpool3/reel1/partB/1920x1080,6450,
/hpsans12/production/Deadpool3/reel1/partB/1920x1080,6666-6668,
/hpsans12/production/Deadpool3/reel1/partB/1920x1080,6670-6671,
/hpsans12/production/Deadpool3/reel1/partB/1920x1080,6680-6684,
/hpsans17/production/Deadpool3/reel1/VFX/AnimalLogic,6832-6834,
/hpsans17/production/Deadpool3/reel1/VFX/AnimalLogic,6911-6914,
/hpsans12/production/Deadpool3/reel1/partB/1920x1080,8845,
/hpsans11/production/Deadpool3/reel1/VFX/Hydraulx,8846,
/hpsans13/production/Deadpool3/reel1/VFX/Framestore,8847,
/hpsans13/production/Deadpool3/pickups/shot_2b/1920x1080,10001-10002,
/hpsans13/production/Deadpool3/pickups/shot_2b/1920x1080,10008,
/hpsans13/production/Deadpool3/pickups/shot_2b/1920x1080,11113,
/hpsans12/production/Deadpool3/reel1/partB/1920x1080,12001-12002,
/hpsans12/production/Deadpool3/reel1/partB/1920x1080,12021,
/hpsans12/production/Deadpool3/reel1/partB/1920x1080,12031,
/hpsans12/production/Deadpool3/reel1/partB/1920x1080,12041,
/hpsans12/production/Deadpool3/reel1/partB/1920x1080,12051,
/hpsans12/production/Deadpool3/reel1/partB/1920x1080,12111,
/hpsans12/production/Deadpool3/reel1/partB/1920x1080,12121,
/hpsans12/production/Deadpool3/reel1/partB/1920x1080,12131,
/hpsans12/production/Deadpool3/reel1/partB/1920x1080,12141,
/hpsans12/production/Deadpool3/reel1/partB/1920x1080,12200,
/hpsans12/production/Deadpool3/reel1/partB/1920x1080,12211-12213,
/hpsans12/production/Deadpool3/reel1/partB/1920x1080,13000,
